A4 Sheet,Acrylic Color,Adapter,Adhesive,Adhesive Kit,Agarbatti Stand,Air Freshener,Air Pump,Air Purifier,Aluminium Foil,Apple Cutter,Apron,Art & Craft Game,Art Kit,Atta Chalan,Baking & Parchment Paper,Ball,Ball Pen,Balloons,Band,Banner,Basket Set,Bath Mug,Bath Towel,Bath Tub,Bathroom Mug,Batten,Battery,Bean Bag Cover,Bean Bag Refill,Beater,Bedside Runner,Beer Glass,Beer Mug,Belan,Bell,Bi-colour Pencils,Binder Clips,Blanket,Blender,Blowpen Kit,Bluetooth Headset,Board,Board Game,Body Patch,Boiler,Book,Bottle,Bottle Opener,Bottle Set,Bowl,Bowl Set,Briefs,Brush Pen,Brushes,Bucket,Bulb,Butter Dish,Cake Decoration Set,Calculator,Camphor / Kapur,Candle,Candle Set,Canister,Canister Set,Car Charger,Car Freshener,Car Polish,Car/Bike Shampoo,Card Game,Carpet,Casserole,Casserole Set,Celebration Kit,Chair Pad,Chakla,Chalk,Charger,Charging Cable,Chipser,Chopper,Chopping Board,Cling Wrap,Clip Set,Cloth Brush,Cloth Clips,Cloth Hanger,Cloth Rope,Cockroach Killer,Cockroach Repellent,Coffee Dripper,Coffee Maker,Coffee Mug,Colander,Colander Basket,Color Kit,Color Pen,Color Set,Color Tubes,Colour Pencils,Colour Set,Combo,Comforter,Compound,Container,Container Set,Cookware Set,Corkscrew,Correction Pen,Cover,Crayons,Cup & Saucer Set,Cup Set,Cushion Cover,Cushion Filler,Cutlery Holder,Cutter Chopper,Cylinder Trolley,Decorative LED Lights,Desktop Calculator,Dessert Bowl Set,Dhoop,Dhoop Cup,Diary,Dicer,Dinner Set,Dish,Disposable Bags,Disposable Bowl,Disposable Food Container,Disposable Fork,Disposable Glass,Disposable Plates,Disposable Spoon,Diya,Diya Baati,Diya Set,Dohar,Door Curtain,Doormat,Double Bedsheet Set,Drainer,Drawers Stand,Drawing Book,Drawing Pen,Drawing Pencils,Dry Iron,Dumbbells,Dustbin,Duster + Marker,Earphones,Edible bowl,Edible spoon,Electric Bat,Electric Chopper,Electric Kettle,Envelope,Eraser,Exam Pad,Extension Cable,Face Tissue,Face Towel Set,Fast Card,File,File Folder,Flash Drive,Flask,Floor Mat,Food Wrapping Paper,Fork Set,Fountain Pen,Fridge Bag,Fridge Basket,Frother,Fruit Basket,Fry Pan,Game,Ganesh Lakshmi Idol,Gangajal,Garbage Bag,Garment Steamer,Gas Lighter,Gas Stove,Gel Crayons,Gel Pen,Geometry Box,Ghee Pot,Gift Set,Gift Wrapping Paper,Glass,Glass Set,Glass lunch Box,Glitter Glue,Glitter Pen,Glue,Glue Drops,Glue Stick,Grater,Greeting Card,Grocery Bag,Gym Bag,Hand Blender,Hand Gloves,Hand Towel,Handi,Handkerchiefs,Hawan Samagri,Highlighter,Hooks,Ice Bucket,Ice Tong,Ice Tray,Ice Tray Set,Ice cream Scoop,Idli Cooker,Idli Stand,Immersion Rod,Incense Sticks / Agarbatti,Induction Cooktop,Insect Killer,Insulation Tape,Jar,Jar Candle,Jar Set,Journal,Jug,Juice Glass Set,Juicer,Kadai,Kettle,Kids Chair,Kids Study Table,Kit,Kitchen Basket,Kitchen Cloth,Kitchen Gloves,Kitchen Rack,Kitchen Scissors,Kitchen Set,Kitchen Tool Set,Kitchen Towel,Kitchen Towel Roll,Kitchen Trolley,Knife,Knife Set,Kumkum,LED Bulb,Ladle,Laptop Bag,Laptop Bed Table,Laptop Stand,Laundry Bag,Laundry Basket,Lemon Squeezer,Lifter,Lighter & Knife Set,Liners,Lint Roller,Lizard Repellent,Lock,Long Notebook,Lunch Bag,Lunch Box,Marker Set,Masala Box,Mask Chain,Mat,Matchbox,Mattress Protector,Mechanical Pencil,MicroSD Card,Microwave Bowl Set,Milk Mug,Mixer Grinder,Mixing Bowl,Mobile Holder,Modelling Clay Set,Modelling Dough,Moli Roll,Mortar & Pestle,Mosquito Bat,Mosquito Coil,Mosquito Killer,Mosquito Killer Machine,Mosquito Repellant Incense Sticks,Mosquito Repellent,Mosquito Repellent Cream,Mosquito Repellent Gel,Mosquito Repellent Patch,Mosquito Repellent Roll On,Mosquito Repellent Spray,Mould,Mould Set,Muffin Tray,Mug,Mug Set,Multi Utility Basket,Multipurpose Paper,Naphthalene Balls,Napkin Holder,Napkins,Net Cover,Notebook,Notebook Set,Notepad,Notes,Oil,Oil Dispenser,Oil Pastels,Okhli,Organizer,Page Markers,Paint Brush,Paint Colors,Painting Kit,Pan,Papad Jali,Paper Clips,Paper Cutter,Paper Gift Bag,Peeler,Peeler & Grater,Peg Measurer,Pen,Pen Holder,Pen Set,Pen Stand,Pencil,Pencil Box,Pencil Pouch,Pencils,Pens,Permanent Marker,Pickle Set,Pillow,Pizza Cutter,Plain Bucket,Planner,Plastic Crayons,Plate,Plate Set,Plate Stand,Playing Cards,Pocket Tissue,Poker Chips,Pooja Bell,Pooja Cloth,Pooja Kit,Pooja Oil,Poppers,Poster Color,Pot,Potato Masher,Power Bank,Prayer Mat,Pressure Cooker,Printed Bucket,Protective Set,Pudding Set,Pump,Punch,Punch Machine,Push Pins,Racket,Rat killer cake,Rechargeable Batteries,Refill,Repellent,Ribbon,Ribbon Roll,Rice Cleaner / Sieve,Rice Light,Roller Ball Pen,Roller Pen,Room Freshener,Room Heater,Rope,Roti Cover,Ruffpad,Salt & Pepper Shaker,Sandwich Maker,Sauce Pan,Scale,School Bag,Scientific Calculator,Scissors,Scoop,Screw Driver Kit,Scrub Pad,Sealant,Serving Bowl,Set,Sewing Kit,Shaker,Sharpener,Shoe Fix,Shoe Rack,Shot Glass,Silicone Brush,Silver Coin,Single Bedsheet Set,Sink Drainer,Sipper,Sketch Book,Sketch Pens,Skimmer Set,Slicer & Grater,Snack Set,Soap Case,Soap Case with Lid,Socks,Sofa Cover,Soft Toy,Soft Toy Cushion,Soup Set,Spatula,Spice Box,Spoon,Spoon Set,Spray,Squeezer,Stamp Pad,Stapler,Stapler Pin,Stationery Kit,Stationery Set,Steam Iron,Steamer,Sticky Notes,Stool,Strainer,Straw,Straws,Strips,Table Cover,Table Fan,Tadka Pan,Tape,Tawa,Tea Light Candles,Tea Spoon Set,Tennis Ball,Thermal Set,Thermowagon,Tissue,Toilet Roll,Tong/Pakad,Tool Kit,Toothpick,Tope,Tope Set,Torch,Travel Mug,Tray,Tray Set,Tumbler Set,Turner,Type C Cable,USB Cable,USB Charger,USB-A Cable,Umbrella,Utensil Basket,Vaccum Flask,Varnish,Vegetable Chopper,Wall Decor,Water Bottle,Water Camper,Water Color Cakes,Water Color Pencils,Water Color Tube,Wax Crayons,Weight Bands,Whisk,Whisky Glass Set,Wine Server,Wireless Mouse,Yoga Mat,Yoghurt Maker,Zip Lock Bag
0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,5,0,1,1,2,1,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,3,6,4,0,0,0,0,0,5,0,0,2,0,0,0,0,0,2,0,0,1,3,0,0,1,0,1,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,6,0,7,0,0,2,0,0,3,6,0,2,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,4,2,8,2,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,4,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,1,0,10,0,0,3,0,0,0,3,0,1,0,3,66,3,66,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,78,0,0,10,0,0,0,0,0,0,5,2,2,15,37,12,0,3,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,8,1,0,8,20,0,1,0,0,0,3,11,4,0,3,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,6,0,0,4,0,3,0,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,27,0,6,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,1,0,0,27,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,2,0,0,0,0,1,0,0,0,2,0,0,6,0,0,6,0,1,5,0,1,0,0,0,64,0,12,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,2,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,3,0,3,0,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,1,3,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,9,1,1,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,20,11,1,0,19,0,0,4,0,0,0,0,0,0,0,8,0,1,0,0,2,0,0,0,0,18,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,206,0,0,0,1,0,1,2,1,0,4,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,1,1,4,3,0,3,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,16,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,14,0,1,0,0,6,1,0,0,0,0,1,1,0,0,2,3,2,0,0,0,0,0,0,0,0,3,0,0,7,0,0,1,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,4,0,0,1,8,0,2,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2,2,1,0,0,0,1,0,2,0,1,0,0,3,0,0,1,0,1,0,0,0,0,1,5,1,4,1,1,0,0,0,0,0,0,1,0,3,2,0,2,5,0,11,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,0,0,13,0,1,0,0,0,0,0,1,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,1,0,0,1,0,1,0,2,0,0,1,0,0,3,2,3,1,0,0,0,0,0,4,0,0,0,1,0,0,0,7,1,4,3,0,0,2,1,0,0,0,1,6,17,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,64,17,0,0,35,0,0,6,0,0,0,0,0,0,0,17,0,3,0,0,6,1,0,1,0,44,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,1,0,1,2,1,0,1,0,0,0,4,0,0,0,0,5,1,0,0,0,5,5,0,0,0,0,0,0,1,0,0,0,206,0,0,0,0,1,2,2,5,1,3,11,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,1,1,2,3,3,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,3,0,0,1,2,0,14,14,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,25,0,7,0,0,14,0,0,0,1,0,1,1,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,2,0,0,0,0,9,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,4,3,0,6,0,1,2,9,0,4,2,0,2,1,0,0,0,1,2,0,0,0,0,0,1,1,2,2,0,3,0,2,0,11,0,0,0,0,3,0,0,0,0,2,0,0,0,3,2,6,2,10,1,0,0,0,1,0,0,0,1,0,5,4,1,1,12,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,7,1,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,7,0,3,0,0,1,0,0,0,0,0,1,1,0,3,2,0,2,0,0,5,2,1,3,1,2,0,0,0,8,0,1,0,1,0,0,1,11,3,2,2,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
0,0,1,1,0,0,9,0,0,3,1,2,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,2,2,5,0,0,0,7,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,5,0,0,3,0,0,0,0,1,0,0,5,5,0,5,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,4,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,16,0,9,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,1,1,5,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,2,0,6,0,2,7,8,0,19,17,0,0,2,0,0,0,0,2,0,1,1,0,0,1,0,0,3,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,5,4,0,2,0,0,0,0,0,0,0,0,4,0,5,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,2,11,0,1,0,0,0,0,0,0,0,0,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,1,0,0,0,0,2
0,0,1,14,2,0,47,0,0,117,0,0,0,0,0,91,0,8,0,5,0,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,1,3,3,2,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,31,0,0,0,0,0,0,10,22,11,11,25,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,3,38,0,0,0,0,0,0,0,7,1,0,2,0,0,0,0,0,0,0,84,0,1,0,0,3,0,0,0,5,0,1,0,0,0,4,3,9,4,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,19,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,1,0,1,3,67,0,1,3,0,3,1,0,0,0,1,1,0,0,1,0,0,1,0,1,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,21,11,5,22,4,0,0,1,0,0,0,0,0,0,3,3,5,1,66,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,14,0,0,2,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,3,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,0,0,2,1,0,0,0,0,1,1,9,8,0,2,0,0,0,10,0,0,0,0,0,0,3,44,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13
